Customer_ID,Age,Gender,Income_Level,Marital_Status,Education_Level,Occupation,Location,purchase information.Purchase_Category,purchase information.Purchase_Amount,purchase information.Frequency_of_Purchase,purchase information.Purchase_Channel,purchase information.Product_Rating,purchase information.Product_Rating word,purchase information.Return_Rate,purchase information.Return_Rate word,purchase information.Payment_Method,purchase information.Shipping_Preference,purchase information.Discount_Used,purchase information.Time_of_Purchase,purchasing behavior.Brand_Loyalty,purchasing behavior.Time_Spent_on_Product_Research(hours),purchasing behavior.Social_Media_Influence,purchasing behavior.Discount_Sensitivity,purchasing behavior.Engagement_with_Ads,purchasing behavior.Device_Used_for_Shopping,purchasing behavior.Time_to_Decision,Evaluation and satisfaction.Customer_Loyalty_Program_Member,Evaluation and satisfaction.Purchase_Intent,Evaluation and satisfaction.Customer_Satisfaction,Evaluation and satisfaction.Customer_Satisfaction word
37-611-6911,22,Female,Middle,Married,Bachelor's,Middle,Évry,Gardening & Outdoors,333.8,4,Mixed,5,High,1,Low Return,Credit Card,No Preference,TRUE,01/03/2024,5,2,None,Somewhat Sensitive,None,Tablet,2,FALSE,Need-based,7,Satisfied 
29-392-9296,49,Male,High,Married,High School,High,Huocheng,Food & Beverages,222.22,11,Store,1,Low,1,Low Return,PayPal,Standard,TRUE,16/04/2024,3,2,Medium,Not Sensitive,High,Tablet,6,FALSE,Wants-based,5,Neutral 
84-649-5117,24,Female,Middle,Single,Master's,High,Huzhen,Office Supplies,426.22,2,Mixed,5,High,1,Low Return,Debit Card,No Preference,TRUE,15/03/2024,5,0.3,Low,Not Sensitive,Low,Smartphone,3,TRUE,Impulsive,7,Satisfied 
48-980-6078,29,Female,Middle,Single,Master's,Middle,Wiwilí,Home Appliances,101.31,6,Mixed,1,Low,0,No Return,Other,Express,TRUE,04/10/2024,3,1,High,Somewhat Sensitive,None,Smartphone,10,TRUE,Need-based,1,Very Dissatisfied 
91-170-9072,33,Female,Middle,Widowed,High School,Middle,Nara,Furniture,211.7,6,Mixed,4,Medium,2,High Return,Debit Card,No Preference,FALSE,30/01/2024,3,0,Medium,Not Sensitive,None,Smartphone,4,FALSE,Wants-based,10,Extremely Satisfied 
82-561-4233,45,Male,Middle,Married,Master's,High,Boro Utara,Office Supplies,487.95,8,Mixed,3,Medium,2,High Return,Debit Card,No Preference,FALSE,19/03/2024,3,0,High,Not Sensitive,None,Tablet,7,FALSE,Planned,3,Dissatisfied 
90-144-9193,21,Female,Middle,Divorced,High School,Middle,Liren,Furniture,486.4,12,Online,5,High,0,No Return,Debit Card,Express,TRUE,15/03/2024,2,1,High,Somewhat Sensitive,Low,Desktop,13,FALSE,Need-based,9,Very Satisfied 
88-661-4689,39,Male,Middle,Single,High School,Middle,Taocheng,Books,218.06,6,Online,4,Medium,2,High Return,Credit Card,No Preference,FALSE,17/03/2024,5,1,Low,Somewhat Sensitive,None,Desktop,13,TRUE,Impulsive,9,Very Satisfied 
37-065-3182,24,Female,High,Divorced,Master's,Middle,Gråbo,Office Supplies,201.96,8,Store,5,High,1,Low Return,Cash,Standard,FALSE,10/06/2024,3,0,Low,Very Sensitive,High,Desktop,7,FALSE,Need-based,2,Very Dissatisfied 
78-116-8349,38,Male,High,Widowed,Bachelor's,Middle,Győr,Mobile Accessories,389.7,12,Store,4,Medium,0,No Return,PayPal,Express,TRUE,02/07/2024,1,0.5,Low,Not Sensitive,High,Desktop,12,FALSE,Planned,4,Somewhat Dissatisfied 
19-933-8095,34,Female,Middle,Single,Bachelor's,High,Gaosheng,Sports & Outdoors,238.93,5,Online,3,Medium,0,No Return,Cash,No Preference,TRUE,27/12/2024,4,1,Medium,Very Sensitive,High,Tablet,1,FALSE,Planned,10,Extremely Satisfied 
80-684-5072,32,Male,High,Married,High School,Middle,Rokytne,Luxury Goods,61.22,7,Store,2,Low,1,Low Return,Debit Card,No Preference,TRUE,05/08/2024,5,2,Low,Very Sensitive,High,Desktop,5,TRUE,Need-based,7,Satisfied 
23-302-7502,30,Male,High,Widowed,High School,High,Alameda,Animal Feed,79.81,4,Mixed,5,High,0,No Return,Debit Card,Standard,FALSE,16/07/2024,5,0,High,Not Sensitive,High,Smartphone,14,TRUE,Wants-based,9,Very Satisfied 
90-069-8934,40,Female,High,Divorced,Master's,High,Dhankutā,Health Care,58.51,2,Online,4,Medium,0,No Return,PayPal,No Preference,TRUE,14/12/2024,4,0.5,None,Not Sensitive,Medium,Desktop,14,TRUE,Planned,4,Somewhat Dissatisfied 
45-073-7243,37,Male,High,Single,Bachelor's,High,Jindong,Hotels,109.29,3,Online,4,Medium,2,High Return,Debit Card,Express,FALSE,11/08/2024,3,0,Medium,Somewhat Sensitive,High,Desktop,11,TRUE,Wants-based,2,Very Dissatisfied 
89-883-2101,38,Male,Middle,Divorced,Bachelor's,High,Ngeru,Furniture,356.45,6,Mixed,5,High,0,No Return,Credit Card,Standard,FALSE,18/10/2024,5,2,Low,Very Sensitive,Medium,Smartphone,8,TRUE,Planned,7,Satisfied 
